Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
8.658349991,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,35.0,5.653297165789233,409.7462800450428,88.29712891336501,0,0
14.44799995,21.4,8.1,3513.0,1.7,67.0,14.512254454111972,118.0,82.0,1,0
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.74889386,31.6,4.940543733983164,2355.0,1.800270883444213,114.0,27.467252768583062,79.0,80.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
13.64371014,24.7,3.5,5941.0,0.6,109.0,18.89978703843972,336.0,69.0,0,1
8.658349991,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,35.0,5.653297165789233,409.7462800450428,88.29712891336501,0,0
13.62443234,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,78.0,14.020851940913774,409.7462800450428,88.29712891336501,1,0
12.81608,32.1,3.3,8025.0,1.2,120.0,26.984260062005244,273.0,83.0,1,0
8.658349991,32.1,4.940543733983164,1157.0,1.800270883444213,35.0,27.16058689531639,32.0,83.0,0,0
